Riells i Viabrea,Selva,3238
Rigardà,Conflent,219
Riner,Solsonès,274
Ripoll,Ripollès,10832
Ripollet,Vallès Occidental ,35427
Riu de Cerdanya,Cerdanya,94
Riudarenes,Selva,1761
Riudaura,Garrotxa,417
Riudecanyes,Baix Camp,878
Riudecols,Baix Camp,1133
Riudellots de la Selva,Selva ,1849
Riudoms,Baix Camp,5925
Riumors,Alt Empordà,172
Rocafort de Queralt,Conca de Barberà ,264
Roda de Barà,Tarragonès,5196
Roda de Ter,Osona,5535
Rodès,Conflent,509
Rodonyà,Alt Camp,474
Roquetes,Baix Ebre,7444
Roses,Alt Empordà,17173
Rosselló,Segrià,2478
Rubí,Vallès Occidental,70006
Rubió,Anoia,146
Rupià,Baix Empordà,213
Rupit i Pruit,Osona,339
Sabadell,Vallès Occidental ,200545
Sagàs,Berguedà,143
Salàs de Pallars,Pallars Jussà ,330
Saldes,Berguedà,326
Salelles,Rosselló,4320
Sales de Llierca,Garrotxa ,128
Sallagosa,Cerdanya,820
Sallent,Bages,7146
Salomó,Tarragonès,439
Salou,Tarragonès,22162
Salses,Rosselló,2750
Salt,Gironès,28017
Sanaüja,Segarra,448
Sant Adrià de Besòs,Barcelonès ,32585
Sant Agustí de Lluçanès,Osona ,107
Sant Andreu de la Barca,Baix Llobregat ,25383
Sant Andreu de Llavaneres,Maresme ,9463
Sant Andreu de Sureda,Rosselló,2674
Sant Andreu Salou,Gironès ,156
Sant Aniol de Finestres,Garrotxa ,289
Sant Antoni de Vilamajor,Vallès Oriental ,4877
Sant Bartomeu del Grau,Osona ,1001
Sant Boi de Llobregat,Baix Llobregat ,81368
Sant Boi de Lluçanès,Osona ,575
Sant Carles de la Ràpita,Montsià ,13488
Sant Cebrià de Rosselló,Rosselló,8573
Sant Cebrià de Vallalta,Maresme ,2873
Sant Celoni,Vallès Oriental ,16056
Sant Climent de Llobregat,Baix Llobregat ,3516
Sant Climent Sescebes,Alt Empordà ,482
Sant Cugat del Vallès,Vallès Occidental ,73774
Sant Cugat Sesgarrigues,Alt Penedès ,890
Sant Esteve de la Sarga,Pallars Jussà ,155
Sant Esteve de Palautordera,Vallès Oriental ,2079
Sant Esteve del Monestir,Rosselló,11066
Sant Esteve Sesrovires,Baix Llobregat ,6590
Sant Feliu d'Amunt,Rosselló,654
Sant Feliu d'Avall,Rosselló,2160
Sant Feliu de Buixalleu,Selva ,756
